station_key,canonical_station_name,first_financial_year,last_financial_year,year_count,financial_years,eligible_year_count,all_file_names
milperra13211kv,Milperra 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Milperra 132_11kV
miranda3311kv,Miranda 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Miranda 33_11kV
mitchellline6611kv,Mitchell Line 66_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Mitchell Line 66_11kV
mortdale3311kv,Mortdale 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Mortdale 33_11kV
mosman13211kv,Mosman 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Mosman 132_11kV
mtthorley6611kv,Mt Thorley 66_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Mt Thorley 66_11kV
narrabeen3311kv,Narrabeen 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Narrabeen 33_11kV
newcastlecbd3311kv,Newcastle CBD 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Newcastle CBD 33_11kV
newport3311kv,Newport 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Newport 33_11kV
paddington3311kv,Paddington 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Paddington 33_11kV
pelican3311kv,Pelican 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Pelican 33_11kV
pennanthills13211kv,Pennant Hills 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Pennant Hills 132_11kV
portbotany3311kv,Port Botany 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Port Botany 33_11kV
pottshill13211kv,Potts Hill 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Potts Hill 132_11kV
punchbowl3311kv,Punchbowl 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Punchbowl 33_11kV
pymble3311kv,Pymble 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Pymble 33_11kV
raymondterrnew3311kv,Raymond Terr NEW 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Raymond Terr NEW 33_11kV
revesby13211kv,Revesby 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Revesby 132_11kV
riverwood3311kv,Riverwood 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Riverwood 33_11kV
sanssouci3311kv,Sans Souci 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Sans Souci 33_11kV
scone6611kv,Scone 66_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Scone 66_11kV
sefton13211kv,Sefton 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Sefton 132_11kV
stpeters13211kv,St Peters 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,St Peters 132_11kV
surryhills3311kv,Surry Hills 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Surry Hills 33_11kV
tomago3311kv,Tomago 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Tomago 33_11kV
turramurra3311kv,Turramurra 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Turramurra 33_11kV
woywoy6611kv,Woy Woy 66_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Woy Woy 66_11kV
zetland13211kv,Zetland 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Zetland 132_11kV
argenton13211kv,Argenton 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Argenton 132_11kV
baerami3311kv,Baerami 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Baerami 33_11kV
bankstown13211kv,Bankstown 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Bankstown 132_11kV
basshill3311kv,Bass Hill 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Bass Hill 33_11kV
belrose3311kv,Belrose 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,10,Belrose 33_11kV
