model_key,factor_id,category,technology,min_g_co2e_per_kwh,q1_g_co2e_per_kwh,median_g_co2e_per_kwh,q3_g_co2e_per_kwh,max_g_co2e_per_kwh,functional_unit,scope,source_type,source_publisher,source_title,source_doi,source_catalogue_url,source_workbook_url,source_workbook_sheet,source_workbook_row,source_reference_and_notes
solar_photovoltaic,NREL_LCA_PHOTOVOLTAIC_ALL_TECHNOLOGIES,Renewable,Photovoltaic (All Technologies),10.9,30.0,43.4,62.0,226.0,g CO2-e per kWh of electricity generated,"total life cycle across upstream, operation and downstream as represented in source harmonisation dataset",direct_official_dataset,NREL/National Laboratory of the Rockies,Life Cycle Greenhouse Gas Emissions from Electricity Generation: Update,10.7799/1819907,https://data.nlr.gov/submissions/171,https://data.nlr.gov/system/files/171/EF_Table_FINAL.xlsx,EF_Table,9,17 | 46 | Hsu et al. 2012 Kim et al. 2012 | See https://www.nrel.gov/docs/fy13osti/56487.pdf for approximate apportionment of total to individual life cycle stages
solar_photovoltaic_crystalline,NREL_LCA_PHOTOVOLTAIC_CRYSTALLINE_SILICON_ALL_TECHNOLOGIES,Renewable,Photovoltaic - Crystalline Silicon (All Technologies),20.0,44.0,57.0,73.0,217.0,g CO2-e per kWh of electricity generated,"total life cycle across upstream, operation and downstream as represented in source harmonisation dataset",direct_official_dataset,NREL/National Laboratory of the Rockies,Life Cycle Greenhouse Gas Emissions from Electricity Generation: Update,10.7799/1819907,https://data.nlr.gov/submissions/171,https://data.nlr.gov/system/files/171/EF_Table_FINAL.xlsx,EF_Table,14,13 | 41 | Hsu et al. 2012 | See https://www.nrel.gov/docs/fy13osti/56487.pdf for approximate apportionment of total to individual life cycle stages
wind,NREL_LCA_WIND_ALL_TECHNOLOGIES,Renewable,Wind (All Technologies),1.2999999933983777,8.096875,13.0,22.230918,81.0,g CO2-e per kWh of electricity generated,"total life cycle across upstream, operation and downstream as represented in source harmonisation dataset",direct_official_dataset,NREL/National Laboratory of the Rockies,Life Cycle Greenhouse Gas Emissions from Electricity Generation: Update,10.7799/1819907,https://data.nlr.gov/submissions/171,https://data.nlr.gov/system/files/171/EF_Table_FINAL.xlsx,EF_Table,31,69 | 186 | Wind Vision Appendix J | Obtained distribution data and kWh estimates from internal Excel spreadsheet
battery_lithium_ion,NREL_LCA_LI_ION_BATTERY_STORAGE,Storage,Li-Ion Battery Storage,17.674409075642938,28.19613470321152,32.889621666768804,49.0,82.0,g CO2-e per kWh of electricity generated,"total life cycle across upstream, operation and downstream as represented in source harmonisation dataset",direct_official_dataset,NREL/National Laboratory of the Rockies,Life Cycle Greenhouse Gas Emissions from Electricity Generation: Update,10.7799/1819907,https://data.nlr.gov/submissions/171,https://data.nlr.gov/system/files/171/EF_Table_FINAL.xlsx,EF_Table,60,3 | 29 | Hiremath et al. 2015 Baumann et al. 2017 Vandepaer et al. 2018 | Downstream is only reported by one source (Vandepaer et al. 2018)
biopower_direct_combustion,NREL_LCA_DIRECT_COMBUSTION,Renewable,Direct Combustion,3.0,25.0,42.0,64.0,320.0,g CO2-e per kWh of electricity generated,"total life cycle across upstream, operation and downstream as represented in source harmonisation dataset",direct_official_dataset,NREL/National Laboratory of the Rockies,Life Cycle Greenhouse Gas Emissions from Electricity Generation: Update,10.7799/1819907,https://data.nlr.gov/submissions/171,https://data.nlr.gov/system/files/171/EF_Table_FINAL.xlsx,EF_Table,6,EPRI 2013
biopower_gasification,NREL_LCA_GASIFICATION,Renewable,Gasification,1.2,16.0,40.0,63.0,250.0,g CO2-e per kWh of electricity generated,"total life cycle across upstream, operation and downstream as represented in source harmonisation dataset",direct_official_dataset,NREL/National Laboratory of the Rockies,Life Cycle Greenhouse Gas Emissions from Electricity Generation: Update,10.7799/1819907,https://data.nlr.gov/submissions/171,https://data.nlr.gov/system/files/171/EF_Table_FINAL.xlsx,EF_Table,7,EPRI 2013
biopower_gasification_engine,NREL_LCA_GASIFICATION_ENGINE,Renewable,Gasification Engine,14.0,85.0,95.0,100.0,110.0,g CO2-e per kWh of electricity generated,"total life cycle across upstream, operation and downstream as represented in source harmonisation dataset",direct_official_dataset,NREL/National Laboratory of the Rockies,Life Cycle Greenhouse Gas Emissions from Electricity Generation: Update,10.7799/1819907,https://data.nlr.gov/submissions/171,https://data.nlr.gov/system/files/171/EF_Table_FINAL.xlsx,EF_Table,8,EPRI 2013
