station_key,all_shape_0015,all_shape_0030,all_shape_0045,all_shape_0060,all_shape_0075,all_shape_0090,all_shape_0105,all_shape_0120,all_shape_0135,all_shape_0150,all_shape_0165,all_shape_0180,all_shape_0195,all_shape_0210,all_shape_0225,all_shape_0240,all_shape_0255,all_shape_0270,all_shape_0285,all_shape_0300,all_shape_0315,all_shape_0330,all_shape_0345,all_shape_0360,all_shape_0375,all_shape_0390,all_shape_0405,all_shape_0420,all_shape_0435,all_shape_0450,all_shape_0465,all_shape_0480,all_shape_0495,all_shape_0510,all_shape_0525,all_shape_0540,all_shape_0555,all_shape_0570,all_shape_0585,all_shape_0600,all_shape_0615,all_shape_0630,all_shape_0645,all_shape_0660,all_shape_0675,all_shape_0690,all_shape_0705,all_shape_0720,all_shape_0735,all_shape_0750,all_shape_0765,all_shape_0780,all_shape_0795,all_shape_0810,all_shape_0825,all_shape_0840,all_shape_0855,all_shape_0870,all_shape_0885,all_shape_0900,all_shape_0915,all_shape_0930,all_shape_0945,all_shape_0960,all_shape_0975,all_shape_0990,all_shape_1005,all_shape_1020,all_shape_1035,all_shape_1050,all_shape_1065,all_shape_1080,all_shape_1095,all_shape_1110,all_shape_1125,all_shape_1140,all_shape_1155,all_shape_1170,all_shape_1185,all_shape_1200,all_shape_1215,all_shape_1230,all_shape_1245,all_shape_1260,all_shape_1275,all_shape_1290,all_shape_1305,all_shape_1320,all_shape_1335,all_shape_1350,all_shape_1365,all_shape_1380,all_shape_1395,all_shape_1410,all_shape_1425,all_shape_1440,median_daily_load_factor,median_p95_ramp_mw,annual_peak_mw,p95_daily_peak_mw,station_name,source_load_archetype_cluster
aberdeen6611kv,1.1863954531491108,1.134518453147506,1.0983579637252356,1.0617273033476746,1.026286550074452,0.9847012001616255,0.9482934128678727,0.920799801660984,0.8890394898218916,0.8680586145622174,0.8483991268385218,0.8321260195118705,0.820839612498187,0.8079461477359537,0.8035734089278678,0.7979220334224715,0.797711964517527,0.8063182639231209,0.8132274099079319,0.831122971096474,0.8483327078539068,0.8682824203048239,0.8771365612151656,0.8919687863093433,0.9098120117865258,0.9316380558517489,0.9540801501706947,0.9654487818240411,0.9681326504911711,0.9920341819948181,1.0008313953997143,1.005515081958391,1.0003897742295758,0.9936518096353931,0.9614807152580874,0.9433456340317704,0.9246386221752302,0.9188670840153276,0.8911422870088881,0.8652908353679597,0.8454063875617451,0.8290374137205722,0.8156592599359994,0.8024822026900165,0.7970434775082217,0.7959932717403827,0.7923554974441742,0.7867708271889924,0.7927307825171621,0.7955320685720805,0.7913562746456154,0.7939797453984588,0.7990152335874735,0.7932465816186751,0.7904541535609427,0.7849794290279497,0.7889477584716889,0.8036802047620234,0.8196030948590909,0.8362458217363524,0.848945960395124,0.8675400920994611,0.8891322491199948,0.9194664537680239,0.9548393225715435,0.9948565617149456,1.0365426606239383,1.0798112812618428,1.1478705943890903,1.2105582627218898,1.2544493925874083,1.2876944865754785,1.31136143941782,1.3385615279790826,1.3463637258368977,1.3507971933902474,1.340389335704739,1.3159952703981939,1.3064533032778085,1.294524580238661,1.3008741189375255,1.2885976175835772,1.2748854291936458,1.2494357143791501,1.2225560431635623,1.1943149374910107,1.2176791806974645,1.2137810345835451,1.2464561502013582,1.2554029811229284,1.227683985110576,1.2266400929408074,1.281918029808314,1.2585066892492534,1.2239588738891234,1.1772511932472818,0.6948216707921376,0.16560150000000007,5.7786550000000005,4.4202686165125,Aberdeen 66_11kV,3
adamstown13211kv,1.0305048671576127,0.980033063381507,0.9580211113787591,1.024153509980093,0.9661614548974208,0.9184650962213291,0.8808089916436735,0.86184434934841,0.8288195761397987,0.7943133231015196,0.7607251128754586,0.7465610523032821,0.740880223749749,0.7285612406015173,0.7170987862192095,0.7128096867993072,0.707869818106117,0.7078313783639981,0.7103238315204629,0.7171049042568891,0.7360827666104472,0.7536687940691889,0.767967980289554,0.7909667859841938,0.8243911324762941,0.8600260568349418,0.8913514866366962,0.9197490051879496,0.9558716317335778,0.9976022291438096,1.025604474595476,1.0389865927100428,1.0192856248878748,1.0260401815190685,1.0225257485886323,1.010691037070223,1.0009149399487396,0.9792083787669771,0.9654017780448092,0.9471148173064272,0.9322637556577441,0.9337498775302123,0.9217369955535378,0.9123779955963854,0.907986950523695,0.9017252329647019,0.8922243023563122,0.8975092775251927,0.9024039575248686,0.892651336011956,0.9008600866511111,0.902400135096845,0.9030378767093636,0.9030527366156591,0.9061920656004666,0.9010104467811326,0.9130557315148737,0.9205320886063172,0.9151942877960793,0.9266820880263358,0.9412853881321621,0.9542104942600959,0.9805532016331889,1.0209707073639809,1.0332231581753188,1.0670925750648053,1.1073896875253009,1.146774836556578,1.1964869516540644,1.2538525865942107,1.303923471805662,1.3382486099933548,1.3741871254702505,1.385548463012737,1.3891754620292145,1.3713995433398556,1.366236991134977,1.3779442599719032,1.344432344324792,1.3156579389255758,1.291787462299791,1.2680785928726077,1.2493981044411089,1.2317429136306677,1.1986260685601335,1.1698097449005125,1.1706027583005056,1.1423064969893177,1.2529665838241417,1.2236180540412034,1.1462900728998247,1.0925394086043603,1.0722674927876126,1.0113379028260958,0.9933998457179859,1.0036446552422775,0.7041737991563267,0.9711300000000002,27.39363,19.544285299999995,Adamstown 132_11kV,3
argenton13211kv,1.016527757697986,0.9848894337483486,0.9366846207724705,0.9413642680420364,0.9410202284059489,0.8811263199340507,0.831289563350002,0.8246659309511313,0.8084664193450888,0.7740242137218578,0.7343943512424844,0.7014283115523381,0.6826266541981822,0.6615823954526155,0.6489606503662928,0.6401506227974498,0.643422180793441,0.6444196671782825,0.6549003882194487,0.6715786421810469,0.7122770937275571,0.7380375523352515,0.7735303906927674,0.8140868548055976,0.881574483881399,0.9354741308919828,0.9850592510754896,1.0359572433377058,1.0674746263773878,1.0996176359985563,1.1144699505979145,1.116843823473207,1.1211937020275466,1.1230930639730459,1.1249343158722003,1.1220152847084903,1.1136919021135703,1.103412115838462,1.0903896246578613,1.079569554028406,1.0659896125708586,1.0580865053178814,1.0491352081784868,1.0455042404060606,1.045985957094869,1.041985814314394,1.047263640078125,1.0467136570551976,1.0419784843933257,1.0356245094460523,1.0419959595469892,1.0435839193233396,1.0473183287987828,1.056624493411488,1.059051943430983,1.0596128312104016,1.0604714856812387,1.0584433381435545,1.0546264902492388,1.0588847660676157,1.059679337773032,1.0587201291872665,1.0591759067393924,1.0669145084862683,1.077071884886793,1.0918249589987614,1.1114064963511168,1.1308909112924346,1.1548112000738224,1.1984832499109386,1.2337538246207542,1.2446058961295874,1.230832623599961,1.2328717300473546,1.2236422921489216,1.2095137008868893,1.1915179275901235,1.1896187590922938,1.1822685545813978,1.1526583653703562,1.1245729058357206,1.103870413522135,1.0808795947795393,1.052318366598311,1.0217929021175172,0.9923273276050972,0.98649419826612,0.9523973177207314,1.0085664276972097,1.028132456768889,0.9989017021673471,0.9585423616268428,0.9882844116536249,0.9551466306572568,0.9231772125563942,0.9292271075760059,0.7505262251720715,0.9243019999999996,32.075685,23.769928,Argenton 132_11kV,2
arncliffe3311kv,0.9885311872826621,0.971780967911302,0.9303879364192856,0.8950584331695773,0.8697131583161625,0.839846229301548,0.7991973157515518,0.7666725700274618,0.7442380467960283,0.7288902255986354,0.7122977938845568,0.69614619667999,0.6879416644877454,0.6776640094658436,0.6706455898552545,0.6616980199839186,0.6576857817941028,0.6576284474886325,0.6586498130911312,0.6662867515293704,0.6849359576816366,0.7111326491575242,0.7324559501841523,0.766315831657636,0.8137979085562589,0.8610331047745398,0.9131790046788629,0.9549341052525879,0.9929541394530531,1.0333034115724413,1.0580010130032893,1.0670963629648278,1.0649382256180404,1.0658008909514267,1.0633207195465588,1.051464458411809,1.0501910749778771,1.04006490362453,1.0345506067140282,1.0317071860963893,1.027406678684557,1.0329127258217756,1.039407992848896,1.0412867529914003,1.0459439485715205,1.0498574571341155,1.0478711924503858,1.0543917383108432,1.0543917383108432,1.059504775381129,1.0547133774934725,1.050252054543586,1.0426101933888934,1.0411528950148745,1.0383129173685866,1.0327445297204123,1.0326152994516713,1.0282562770766752,1.0198038210140863,1.0167331597976434,1.0117467821132684,1.0121981560939752,1.0166778971588815,1.0229858602127924,1.0411802094611218,1.0544405554610772,1.0676597567671038,1.0895776866562266,1.097951386868267,1.1213599013821753,1.1455468739874632,1.1718231091661444,1.2020682591179155,1.2267253104268585,1.232991431728685,1.234385125895859,1.233638208263824,1.2371806991047098,1.2391837985227487,1.2343050202743415,1.238435719463724,1.2463086750444414,1.2462992400245019,1.2305634740069336,1.211176526858652,1.2041587673524332,1.1848377159042263,1.1520251383404707,1.147640446592947,1.1402568653921006,1.1062428277856742,1.0777214088544613,1.0377651981800466,0.9986515880026406,1.003331622443075,0.9986515880026406,0.7790029978598134,0.42552899999999994,17.6625,14.236714000000001,Arncliffe 33_11kV,2
auburn3311kv,0.7023446483627508,0.6921253279886604,0.6847212604416131,0.6785732210909947,0.6740235717136747,0.6641500127347043,0.6609651334146872,0.6609434558680529,0.6582552538053738,0.6569319339336518,0.6560373821802774,0.6591045774674621,0.6569682531271843,0.6518745346487319,0.6549895274374898,0.6640261819232827,0.684838358150862,0.7030657165585911,0.7123407633922461,0.7234625230885998,0.7474423944975773,0.7657650592276027,0.7968598050220805,0.820087621768191,0.8499081648323394,0.8869055473518072,0.9237870755908526,0.9499991083039583,0.9940173617778382,1.0298311357232448,1.0716180856779172,1.1137969246064117,1.1633739306648625,1.1903130128503816,1.2253783874039437,1.2529780318060022,1.2772516396704783,1.2928789676257348,1.3016182280039716,1.2987618650431692,1.2999992199508963,1.3078316047926584,1.3226626908250807,1.3315463242527423,1.334293499413747,1.3347324828340175,1.3436502311158969,1.3353392828154989,1.3258798315078315,1.3178546697046847,1.3288584475172567,1.327790881126274,1.3266978833861156,1.3235454541508365,1.3187709586427023,1.3186308736497632,1.3195935103398253,1.31125632076385,1.3009254543689364,1.2904655196041521,1.2765951934326638,1.2710238363049973,1.2641295511954265,1.257392678685511,1.2366058006735678,1.224304359976075,1.2170803603486535,1.201720026703413,1.1613925869814359,1.1259519115841607,1.0797202321590864,1.0392781860873828,1.0017068357985657,0.9861549656655869,0.9758001982506187,0.964316414850374,0.9556233640144284,0.9496197255751386,0.9424718247340476,0.9354979295310094,0.9241335327545926,0.9140141283283784,0.9054016783777382,0.8914273043575621,0.8655573927978226,0.8451224727677105,0.8291374194040315,0.8185872211888239,0.8030242622382074,0.7922133662060128,0.775459983451625,0.7656669995557427,0.750885023576951,0.7383797963768491,0.727471868000528,0.7144924425252601,0.714028715388688,0.6495959999999998,25.2243,20.736468,Auburn 33_11kV,1
avoca6611kv,1.0903349086572853,1.2379165755443895,1.2403444875171667,1.1516906414053534,1.0919110469527218,1.0674313670220172,1.1432573304295783,1.0488129472853454,0.9796319564764818,0.8956177392225237,0.8511618474788304,0.8078387709604395,0.7734551589021578,0.7468954274430307,0.7275661613060839,0.7119395817929008,0.702713019359935,0.6970067422284122,0.6928076619881934,0.6932562378152908,0.7000659787923742,0.7145355366931117,0.7352550642500175,0.7675972739770879,0.8136765092478849,0.8724849032370833,0.927089015728449,0.9794681210760862,0.9630586342898295,0.9958895235070515,1.0186677241051085,1.023420847864623,1.0208070244569039,1.0151099178882912,1.0052836012171076,0.9856149359871144,0.9717773349800197,0.9525018935067443,0.9365739444967549,0.9143394984070812,0.8912343383411202,0.8741732216639848,0.852602324322534,0.8342216739297482,0.8231504926636577,0.8075360557987786,0.8014054929717297,0.7916835263151204,0.7799592495156874,0.7818685186874419,0.7821302577457449,0.7808057168528125,0.7812206347130393,0.7842494816132771,0.7785670968783314,0.7804605927206846,0.7835989052201436,0.7894827876894475,0.7901120396397022,0.8022073145619806,0.8330297435052881,0.8459307656449534,0.8827024968687693,0.9099635267501752,0.9464820015730291,0.9912916215488795,1.0407430503529413,1.0936227705157602,1.1404389183347439,1.2091665787338277,1.2907761312897792,1.354321551755865,1.403287079648558,1.4208951780982337,1.4223461205930295,1.411794324652026,1.3906964109687698,1.3615926101967866,1.3397135152612876,1.321404861778861,1.3801381694924355,1.3375341164238486,1.3503013358674487,1.301287843078345,1.3047835165778063,1.238761720464929,1.181009870456389,1.1281381764941365,1.0922501401960285,1.169349773339806,1.2342296986132382,1.1447720321398513,1.204640759888919,1.1586690356034766,1.2258451826727266,1.1826127552772185,0.6912716764058444,1.4599100000000003,36.51191,31.182826,Avoca 66_11kV,3
avondale3311kv,1.227339146006808,1.1633820161596564,1.1230066918685364,1.1408221295926306,1.0950913609649926,1.0227759777086551,0.9817009190903938,0.9669379704362618,0.9537940278449141,0.9053845822788887,0.867003510499303,0.8369252691442202,0.8185692497891756,0.8021028175912603,0.7913327214093994,0.7857674355775794,0.7816513678459875,0.7832172518977102,0.7869339802575792,0.7930003011241756,0.8125073985088521,0.8403288391255703,0.8701970583523354,0.9043190097225955,0.9583487504040745,1.0072155479810097,1.0393676661245967,1.0505858954165206,1.0682718539066836,1.0993531414673137,1.1043256734245797,1.1026967430993873,1.0962599077271744,1.0794101672558198,1.0516277007028727,1.0257624069645677,1.0068642730001316,0.9750536621295798,0.9439311088837917,0.907459400872033,0.8814178665427305,0.8591193274543261,0.8354849716134856,0.8188693368711341,0.8051593861456009,0.7941845813247175,0.7967368004403093,0.7933234189785218,0.8004201404415521,0.8041805600603618,0.8015406856755483,0.7975973416820878,0.7670844357126976,0.7592898237501188,0.7646782299277071,0.7709888592458641,0.781186581474903,0.7896870894692319,0.7981542062356193,0.8096076834977765,0.8319119207133432,0.8567716992892171,0.8885740383081068,0.9178468013920716,0.9468008671201269,1.0041020988328486,1.037770033505867,1.0826355541651598,1.143048564994674,1.2216363176063654,1.2831940046187136,1.3138455548064254,1.3354044360969461,1.3492266047066939,1.3395879205418066,1.324214057260418,1.3137790670422442,1.3345489898538712,1.296577317967088,1.2661798186006732,1.243911911179567,1.22128864765208,1.1964354402447899,1.1708868043571716,1.1373629681206694,1.1054294239749758,1.1238100453084667,1.1023000267298555,1.2237287795894614,1.175324942980191,1.1368072531272473,1.0795854862323033,1.1253389096717241,1.0849839862116841,1.0699722667164375,1.1158411817788088,0.7114554147127929,0.35212299999999985,10.679265000000001,7.8142949999999995,Avondale 33_11kV,3
baerami3311kv,1.0399018560805682,1.0068338643663326,0.9901485805445697,0.9734828753010126,0.9542505697952285,0.9356759844441869,0.9283863787228505,0.9193219055092722,0.90503875115935,0.8813129896922238,0.8681237415872338,0.8607934869637617,0.8429371990924889,0.8383540220747498,0.8335348759519037,0.8363569485620863,0.8365804259059884,0.8341738584143206,0.8327741628305498,0.8295609935075865,0.8466561942555245,0.8514727473182472,0.8643535221388655,0.8814035947497529,0.911956028527969,0.9377824239384998,0.9643069297249532,0.9819716292606632,0.9813658818737356,0.9810792356884901,0.984218171379316,0.9715927072157349,0.9522675891644573,0.944896487835513,0.9352345382835018,0.9326329957633485,0.9295124354797728,0.9315065301261584,0.9279036322408454,0.9190429602913088,0.9145280936849267,0.9082492495142572,0.8977516521359576,0.8935594681795794,0.8856720216399695,0.8837460139806945,0.8828051670313274,0.8847933806413635,0.9096761805102817,0.9182915630495594,0.9220390230931675,0.9296816348922322,0.9354305477268371,0.926322386757971,0.9228954532952526,0.9213852116845538,0.9220767212778921,0.9179906388760412,0.928374433179618,0.9371624489561381,0.9462268330348438,0.9611871506823831,0.9783817497665929,0.9829544675604309,1.0037757207735523,1.027118659192936,1.0745314104197015,1.0996956985404902,1.1258796132703695,1.1598826249071124,1.1966190420169123,1.2392511418508265,1.262754910881019,1.288367505395507,1.3089087709391047,1.310092793442706,1.2967072844572392,1.27541322653466,1.2628066275104712,1.24946171952689,1.2381483512260139,1.2277032512418649,1.2116608627627474,1.188250637633086,1.170566089967348,1.151840666017425,1.1559823417842732,1.1280631198030842,1.1147168108201004,1.0901508540391136,1.096861585496384,1.0770351843572272,1.1255831537721934,1.090769698443551,1.0474773111746831,1.0140421348866087,0.7195949393446874,0.030761499999999997,0.68605,0.589985,Baerami 33_11kV,0
balgowlahnorth13211kv,0.7988741939032923,0.773964127088372,0.7593586408145886,0.7581567549265196,0.8193290762648755,0.7914894530624768,0.7609365345131482,0.7319904430364275,0.7152014957534916,0.6945914745067935,0.6801849756559145,0.6637215991139189,0.6576605039801945,0.6507442398556841,0.6477403519230857,0.6430572599789376,0.6424636191556239,0.6404209843101916,0.6421976613072828,0.6462573394260093,0.6619280803915475,0.6730470257624356,0.6942384811551036,0.7288909596123972,0.7792774560668349,0.8381889946087441,0.9123426890342254,0.9684688604873171,1.0031551744770282,1.053230644264373,1.0786310564619301,1.089331077044791,1.105546113758277,1.1148481671956565,1.1065883494507736,1.100124877536435,1.1019024345947066,1.093914323470472,1.0786120753467903,1.0626559837971064,1.0525965716106367,1.0425808417263807,1.0355719783587962,1.0274229015979393,1.0219242351400306,1.0091225861355766,1.0008900859149572,0.9981566516470713,0.9952585133534734,0.993144669208988,0.990099046158078,0.9932083861806743,0.9906954069820048,0.9924200712611323,0.9904724182800483,0.986536222683796,0.9955878369017253,0.9911933011074183,0.9875243255124436,0.989388664856221,0.9968751960265012,1.0026497549522377,1.0131411126100924,1.0372376857404406,1.0601466173187735,1.0870664079468058,1.1156638734778703,1.1463463199233181,1.1825700420137577,1.235601103264788,1.2807931290405006,1.3370546674027692,1.3666749938434157,1.3957829855126513,1.415333608306087,1.4070087322148854,1.3944298436410774,1.381834479749349,1.372125597365172,1.3590429025745765,1.3425693887070729,1.3476395923337077,1.3651635944818408,1.3066554856970494,1.2635338621280083,1.2129691736743617,1.1768183063804019,1.1249740096265632,1.116342310326612,1.0962570981895503,1.0398373888105543,0.9904101670939638,0.973919642641674,0.9011655806540302,0.874334681527681,0.8329723970906878,0.6890884901277827,0.9419010000000007,32.101,28.173498000000002,Balgowlah North 132_11kV,2
bankstown13211kv,0.8949144547503913,0.8587290107734566,0.826747576706172,0.8283132626897649,0.8141464301400935,0.7801254333013132,0.7532213588481347,0.7265843950504933,0.7068257901498335,0.6850552130894598,0.6696775744604293,0.6557801082145822,0.6469684047191026,0.6389805462742693,0.6365237427346666,0.6373060504375908,0.6485069381470049,0.6513423899383719,0.6635830061371055,0.681084545903111,0.7104592394602245,0.7372359283949599,0.7586473724755546,0.79229297183365,0.8352571425539959,0.8738463459101775,0.9140209240204211,0.9482246151514142,1.0011851314524098,1.0453681152629097,1.0805461800755063,1.0934350154354424,1.1099535270600809,1.1274525565977593,1.1398543000509183,1.1409460310015538,1.1443239144001358,1.1361117809501624,1.1188920714028925,1.127842328729997,1.1206128170321903,1.1238962789913167,1.1220721847000406,1.11910230050893,1.115768409673513,1.1120897539530523,1.1136581141636588,1.1091983629143478,1.0947867905367274,1.0904227036954788,1.0944232398858462,1.1023774581492407,1.1051230491026256,1.1011290078901115,1.1096837416302752,1.1081661887508154,1.1129579153598568,1.1133015087608937,1.1032039324638037,1.0972466480406429,1.0929501077900776,1.1006963952789928,1.1015299551259161,1.1097954786843465,1.1254922193944492,1.1359267602039986,1.136274265741873,1.151961814258199,1.1461995801336438,1.1584925022535528,1.1696744243978432,1.1832864231458025,1.1907200854206932,1.191822487739255,1.1873177881374914,1.1811265624661542,1.1686682520175244,1.1562519713514035,1.146466275036639,1.1375849489789076,1.1287472697247234,1.1200469741662085,1.1123988452690308,1.0968426299607206,1.078934808607128,1.0632661057888921,1.049759708248784,1.0266692758614377,1.0226601840035945,1.0282227013364515,1.0276840781136947,1.033395154244956,0.9913103167823631,0.9559667335047185,0.9541665482501457,0.9281582376915005,0.77889463262486,1.1297786156999994,43.830893,33.326845674575,Bankstown 132_11kV,2
