site_name,SA2_NAME21,longitude,latitude,cluster,selection_reason,ghi_kwh_m2_day,wind50_mean_ms,temp_p95_c,resource_complementarity,crop_dry_tpy_50km,manure_vs_tpy_50km,organic_waste_tpy_50km,forestry_dry_tpy_50km,population_2021_50km,crop_dry_weighted_distance_km_50km,manure_vs_weighted_distance_km_50km,organic_waste_weighted_distance_km_50km,forestry_dry_weighted_distance_km_50km,resource_diversity_score,resilience_challenge_score
Suffolk Park,Byron Bay,153.59378051800007,-28.672691344999983,0,cluster_medoid,4.9464136162269785,6.961864941098392,26.07,0.9035560638072364,261760.9784898213,8268.318936105266,147461.4446812514,11169.73253456646,180270.11255000165,28.587487075446,30.667139159842787,28.58244176971008,32.6692159159214,0.762734184406017,0.175
Narrandera,Narrandera,146.5387268070001,-34.743625640999944,1,resource_extreme,5.2207288377302135,6.0015629666500745,32.99,0.9730561691456568,490555.8126089948,57824.35913718586,23882.682681090177,1949.5887260767167,19084.47246071536,15.625260505168932,4.502931840825913,24.457664743436045,5.326222163958655,0.7671313313827903,0.4625
West Jemalong,Forbes,147.66235351600008,-33.379119872999986,1,cluster_medoid,5.311074922847188,5.7821491828438685,32.9,0.9696637735304852,402627.25379941496,3631.479791988748,11165.090163134855,172.839113090739,12139.34364327518,25.27253258414149,19.17261341261685,20.319665489385088,21.088881663581677,0.6664670140512398,0.4999999999999999
Bombala,Bombala,149.24301147500017,-36.89133834799998,2,cluster_medoid,4.551089074166252,4.240896382943421,25.71,0.8522291591427769,14297.242028248917,4406.445620714893,13777.06181601068,154045.0381147256,7863.00912939631,23.163453115627068,30.572391922026984,31.05801291137256,18.05815426701024,0.4930752799367575,0.65625
Merrywinebone,Walgett - Lightning Ridge,148.80603027300006,-29.696500777999944,3,cluster_medoid,5.6711881010452965,5.8675,35.69,0.9401265475365188,162344.7404217164,56.27330745619287,2096.8193446182327,552.0993639611177,1853.0591562575064,27.88408934816017,19.406465969262925,25.62208020618819,19.924385347020912,0.594220718639754,0.55
Hallidays Point 11kV,Old Bar - Manning Point - Red Head,152.47157287600004,-32.06842422499991,4,cluster_medoid;resilience_challenge,4.807817471378796,4.4474315579890495,27.55,0.8872801001123589,7382.83555034621,15970.22036566531,72487.36634914427,62594.22983596664,83476.14618406628,28.21239187113499,32.42586636864149,23.43477866974756,33.23274192478772,0.5857026693203792,0.6625
