k,silhouette,calinski_harabasz,davies_bouldin,kmeans_stability_ari,algorithm_agreement_ari,score_silhouette,score_calinski,score_davies,score_stability,score_agreement,composite_cluster_score
3,0.2876351133586824,9.702573755450267,1.195420586341889,0.6974196739451615,0.33283852920929347,0.25,0.25,0.25,0.25,0.25,0.25
4,0.32548907993340215,10.97038421065826,0.9485847201104223,0.8818933098968493,0.6523066249641153,0.75,1.0,0.5,1.0,0.5,0.75
5,0.332903123742578,10.4657469330342,0.7620512010153199,0.8379661594908875,0.7724112109542148,1.0,0.75,0.75,0.75,1.0,0.85
6,0.30649685143387145,10.13237833756216,0.6664116694827157,0.7896264944657178,0.6762793204515267,0.5,0.5,1.0,0.5,0.75,0.65
