dataset,source_url,local_path,status,http_status,bytes,sha256,records,note
AEMO inputs and assumptions (supplementary),https://www.aemo.com.au/energy-systems/major-publications/integrated-system-plan-isp/2026-integrated-system-plan-isp/2025-26-inputs-assumptions-and-scenarios,bundle_v6/raw/economics/aemo/2025_inputs_and_assumptions_workbook.xlsm,failed,,,,,"browser attachment failed: RuntimeError(""no attachment matched '2025 Inputs and Assumptions Workbook'"")"
Australian Petroleum Statistics (supplementary),https://www.energy.gov.au/publications/australian-petroleum-statistics-2026,bundle_v6/raw/fuel/australian_petroleum_statistics_may_2026.xlsx,failed,,,,,"browser attachment failed: Error('Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.energy.gov.au/publications/australian-petroleum-statistics-2026\nCall log:\n  - navigating to ""https://www.energy.gov.au/publications/australian-petroleum-statistics-2026"", waiting until ""domcontentloaded""\n')"
